hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-127	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
hsa-miR-127	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
hsa-miR-125b	bladder cancer	up-regulated	microarray	2009	MiRNA expression in urothelial carcinomas: Important roles of miR-10a, miR-222,miR-125b, miR-7 and miR-452 for tumor stage and metastasis, and frequent homozygous losses of miR-31.
hsa-miR-133a	Hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2009	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-miR-141	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-142-3p	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2008	MicroRNA alterations in head and neck squamous cell carcinoma.
hsa-miR-143	bladder cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-143 as a tumor suppressor for bladder cancer.
hsa-miR-143	endometriosis	up-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-143	colorectal cancer	down-regulated	northern blot, qRT-PCR etc	2009	Role of miR-143 targeting KRAS in colorectal tumorigenesis.
hsa-miR-145	endometriosis	up-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-146a*	thyroid cancer	normal	northern blot, qRT-PCR etc	2009	Polymorphic mature microRNAs from passenger strand of pre-miR-146a contribute to thyroid cancer.
hsa-miR-146b	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2008	MicroRNA alterations in head and neck squamous cell carcinoma.
hsa-miR-15	chronic myeloid leukemia (CML)	down-regulated	northern blot, qRT-PCR etc	2009	The c-myb proto-oncogene and microRNA-15a comprise an active autoregulatory feedback loop in human hematopoietic cells.
hsa-miR-150	endometriosis	up-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-155	Waldenstrom Macroglobulinemia (WM)	up-regulated	Northern blot, qRT-PCR etc	2009	microRNA expression in the biology, prognosis and therapy of Waldenstrom macroglobulinemia.
hsa-miR-155	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2008	MicroRNA alterations in head and neck squamous cell carcinoma.
hsa-miR-15b	glioma	down-regulated	Northern blot, qRT-PCR etc	2009	MicroRNA-15b regulates cell cycle progression by targeting cyclins in glioma cells.
hsa-miR-18	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2008	MicroRNA alterations in head and neck squamous cell carcinoma.
hsa-miR-184	Waldenstrom Macroglobulinemia (WM)	up-regulated	Northern blot, qRT-PCR etc	2009	microRNA expression in the biology, prognosis and therapy of Waldenstrom macroglobulinemia.
hsa-miR-192	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2009	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
hsa-miR-194	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2009	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
hsa-miR-17-92	Burkitt lymphoma	up-regulated	northern blot, qRT-PCR etc	2007	Direct regulation of an oncogenic micro-RNA cluster by E2F transcription factors.
hsa-miR-17-92	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Augmentation of tumor angiogenesis by a Myc-activated microRNA cluster.
hsa-miR-17-92	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2005	A microRNA polycistron as a potential human oncogene.
hsa-miR-17-92	lymphoproliferative disease	up-regulated	Northern blot, qRT-PCR etc	2008	Lymphoproliferative disease and autoimmunity in mice with increased miR-17-92 expression in lymphocytes.
hsa-miR-18	hepatocellular carcinoma (HCC)	up-regulated	Northern blot, qRT-PCR etc	2006	Comprehensive analysis of microRNA expression patterns in hepatocellular carcinoma and non-tumorous tissues.
hsa-miR-181a	acute myeloid leukemia (AML)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA miR-181a correlates with morphological sub-class of acute myeloid leukaemia and the expression of its target genes in global genome-wide analysis.
hsa-miR-181a	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-181a	Cerebellar neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2007	Cerebellar neurodegeneration in the absence of microRNAs.
hsa-miR-181a	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	Small RNAs analysis in CLL reveals a deregulation of miRNA expression and novel miRNA candidates of putative relevance in CLL pathogenesis.
hsa-miR-181a	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-181a	glioblastoma	down-regulated	Northern blot, qRT-PCR etc	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-181a	homozygous sickle cell disease (HbSS)	down-regulated	microarray	2008	The genomic analysis of erythrocyte microRNA expression in sickle cell diseases.
hsa-miR-181a	malignant melanoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-181a	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-181a	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-181a	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-181a*	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-181a-1	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-148a	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-148b	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-188	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-22	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-22	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-142-3p	psoriasis	up-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-142-5p	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-142-5p	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-142-5p	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-143	Burkitt lymphoma	down-regulated	Northern blot, qRT-PCR etc	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-143	chronic lymphocytic leukemia (CLL)	down-regulated	Northern blot, qRT-PCR etc	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-143	colorectal cancer	down-regulated	northern blot, qRT-PCR etc	2006	MicroRNAs 143 and 145 are possible common onco-microRNAs in human cancers.
hsa-miR-143	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA-143 and -145 in colon cancer.
hsa-miR-143	diffuse large B-cell lymphoma (DLBCL)	down-regulated	Northern blot, qRT-PCR etc	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-143	Obesity	up-regulated	Northern blot, qRT-PCR etc	2004	MicroRNA-143 regulates adipocyte differentiation.
hsa-miR-143	breast cancer	down-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-143	cervical cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Patterns of known and novel small RNAs in human cervical cancer.
hsa-miR-143	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2003	Reduced accumulation of specific microRNAs in colorectal neoplasia.
hsa-miR-143	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer.
hsa-miR-143	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-143	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-143	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-143	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-143	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-143	serous ovarian cancer	down-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-143	uveal melanoma	up-regulated	microarray	2008	Micro-RNAs associated with metastasis in uveal melanoma identified by multiplexed microarray profiling.
hsa-miR-143	vascular disease	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-144	uterine leiomyoma (ULM)	down-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-145	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-145	Burkitt lymphoma	down-regulated	Northern blot, qRT-PCR etc	2007	Downregulation of microRNAs-143 and -145 in B-cell malignancies.
hsa-miR-213	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-155	Inclusion body myositis (IBM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-299-3p	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-335	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-106a	diffuse large B-cell lymphoma (DLBCL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-130	Spinocerebellar ataxia 1	down-regulated	Northern blot, qRT-PCR etc	2008	miR-19, miR-101 and miR-130 co-regulate ATXN1 levels to potentially modulate SCA1 pathogenesis.
hsa-miR-19	Spinocerebellar ataxia 1	down-regulated	Northern blot, qRT-PCR etc	2008	miR-19, miR-101 and miR-130 co-regulate ATXN1 levels to potentially modulate SCA1 pathogenesis.
hsa-miR-130b	T-cell leukemia	up-regulated	Northern blot, qRT-PCR etc	2008	Roles for microRNAs, miR-93 and miR-130b, and tumor protein 53-induced nuclear protein 1 tumor suppressor in cell growth dysregulation by human T-cell lymphotrophic virus 1.
hsa-miR-93 	T-cell leukemia	up-regulated	Northern blot, qRT-PCR etc	2008	Roles for microRNAs, miR-93 and miR-130b, and tumor protein 53-induced nuclear protein 1 tumor suppressor in cell growth dysregulation by human T-cell lymphotrophic virus 1.
hsa-miR-196b	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-20	medulloblastoma 	up-regulated	northern blot, qRT-PCR etc	2009	The miR-17~92 cluster collaborates with the Sonic Hedgehog pathway in medulloblastoma.
hsa-miR-200a	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-200b	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-200c	kidney cancer	down-regulated	northern blot, qRT-PCR etc	2009	Genome-wide microRNA expression profiling in renal cell carcinoma: significant down-regulation of miR-141 and miR-200c.
hsa-miR-204	cholangiocarcinoma	down-regulated	northern blot, qRT-PCR etc	2009	The role of microRNA expression pattern in human intrahepatic cholangiocarcinoma.
hsa-miR-205	Hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2009	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-miR-205	squamous carcinoma	up-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-184 antagonizes microRNA-205 to maintain SHIP2 levels in epithelia.
hsa-miR-205	head and neck squamous cell carcinoma (HNSCC)	up-regulated	northern blot, qRT-PCR etc	2009	Detection of metastatic head and neck squamous cell carcinoma using the relative  expression of tissue-specific mir-205.
hsa-miR-206	Waldenstrom Macroglobulinemia (WM)	up-regulated	Northern blot, qRT-PCR etc	2009	microRNA expression in the biology, prognosis and therapy of Waldenstrom macroglobulinemia.
hsa-miR-20a	endometriosis	down-regulated	microarray	2009	MicroRNA-regulated pathways associated with endometriosis.
hsa-miR-21	gastric cancer (stomach cancer)	up-regulated	northern blot, qRT-PCR etc	2009	miR-21 plays a pivotal role in gastric cancer pathogenesis and progression.
hsa-miR-21	heart failure	up-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-21 contributes to myocardial disease by stimulating MAP kinase signalling in fibroblasts.
hsa-miR-215	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2009	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
hsa-miR-210	lung cancer	up-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-210	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-210	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-210	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-210	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-210	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-210	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-211	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-211	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-212	alcoholic liver disease (ALD)	up-regulated	Northern blot, qRT-PCR etc	2008	Effect of alcohol on miR-212 expression in intestinal epithelial cells and its potential role in alcoholic liver disease.
hsa-miR-212	autism spectrum disorder (ASD)	up-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-212	hepatocellular carcinoma (HCC)	up-regulated	microarray	2006	Downregulation of miR-122 in the rodent and human hepatocellular carcinomas.
hsa-miR-212	lung cancer	up-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-212	nasopharyngeal carcinoma (NPC)	down-regulated	microarray	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-212	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-212	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-212	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-212	schizophrenia	down-regulated	microarray	2007	microRNA expression in the prefrontal cortex of individuals with schizophrenia and schizoaffective disorder.
hsa-miR-212	uterine leiomyoma (ULM)	down-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-213	B-cell chronic lymphocytic leukemia	down-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-213	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-213	follicular lymphoma (FL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-213	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-213	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-144	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-296	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-30a-5p	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-30d	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-320	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-324-3p	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-324-5p	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-325	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-345	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-346	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-365	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-381	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-423	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-433	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-484	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-486	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-494	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-500	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-513	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-516-5p	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-518b	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-518c*	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-557	lupus nephritis	down-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-575	lupus nephritis	up-regulated	microarray	2008	Comprehensive analysis of microRNA expression patterns in renal biopsies of lupus nephritis patients.
hsa-miR-155	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-155	lung cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-155	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-155	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-155	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-155	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-155	pancreatic cancer	down-regulated	Northern blot, qRT-PCR etc	2006	MicroRNA expression abnormalities in pancreatic endocrine and acinar tumors are associated with distinctive pathologic features and clinical behavior.
hsa-miR-155	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-155	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-155	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-138-2	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-138-2	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-139	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-139	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-139	follicular lymphoma (FL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-139	hepatocellular carcinoma (HCC)	down-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-139	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-139	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-145	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Widespread deregulation of microRNA expression in human prostate cancer.
hsa-miR-222	Inclusion body myositis (IBM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	malignant melanoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-128	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-139-5p	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-146a	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-181a-1*	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-203	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-320	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-328	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-337-3p	neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-338-3p	neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-339-5p	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-miR-342-3p	neurodegeneration	up-regulated	Northern blot, qRT-PCR etc	2008	A miRNA signature of prion induced neurodegeneration.
hsa-let-7a	non-small cell lung cancer (NSCLC)	down-regulated	Northern blot, qRT-PCR etc	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7b	non-small cell lung cancer (NSCLC)	down-regulated	Northern blot, qRT-PCR etc	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7d	non-small cell lung cancer (NSCLC)	down-regulated	Northern blot, qRT-PCR etc	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-let-7g	non-small cell lung cancer (NSCLC)	down-regulated	Northern blot, qRT-PCR etc	2008	A SNP in a let-7 microRNA complementary site in the KRAS 3' untranslated region increases non-small cell lung cancer risk.
hsa-miR-21	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	Northern blot, qRT-PCR etc	2008	Association between High miR-211 microRNA Expression and the Poor Prognosis of Oral Carcinoma.
hsa-miR-15a	Polycystic Kidney Disease	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA15a modulates expression of the cell-cycle regulator Cdc25A and affects hepatic cystogenesis in a rat model of polycystic kidney disease.
hsa-miR-15a	Polycystic liver disease	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA15a modulates expression of the cell-cycle regulator Cdc25A and affects hepatic cystogenesis in a rat model of polycystic kidney disease.
hsa-miR-145	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA profile analysis of human prostate cancers.
hsa-miR-15a	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
